
Using driver default on device /dev/lirc0
Trying device: /dev/lirc0
Using device: /dev/lirc0
Warning: Running as root.
space 6073336
pulse 8572
space 4183
pulse 593
space 483
pulse 564
space 486
pulse 573
space 1529
pulse 567
space 485
pulse 574
space 477
pulse 570
space 1530
pulse 566
space 484
pulse 575
space 1540
pulse 566
space 1511
pulse 596
space 1505
pulse 590
space 487
pulse 572
space 1529
pulse 567
space 1535
pulse 571
space 480
pulse 568
space 1533
pulse 574
space 478
pulse 570
space 1531
pulse 575
space 477
pulse 570
space 506
pulse 543
space 508
pulse 540
space 498
pulse 571
space 480
pulse 568
space 483
pulse 565
space 486
pulse 573
space 478
pulse 569
space 1531
pulse 565
space 1536
pulse 570
space 1532
pulse 564
space 1562
pulse 544
space 1559
pulse 548
space 1527
pulse 568
space 1534
pulse 562
